"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",-1.20255578197759e-320,-1.1714296462896e-320,-1.16945338370623e-320,-1.19119227212325e-320,-1.1714296462896e-320,-1.16945338370623e-320,-1.19119227212325e-320,-1.20255578197759e-320,-1.16945338370623e-320,-1.19119227212325e-320,-1.20255578197759e-320,-1.1714296462896e-320
"3",-3.57505901330726e-320,-3.47723401543069e-320,-3.48217467188911e-320,-3.57703527589062e-320,-3.47723401543069e-320,-3.48217467188911e-320,-3.57703527589062e-320,-3.57505901330726e-320,-3.48217467188911e-320,-3.57703527589062e-320,-3.57505901330726e-320,-3.47723401543069e-320
"4",-8.32994678888342e-320,-8.0769851782127e-320,-8.13429679313028e-320,-8.30178504707047e-320,-8.0769851782127e-320,-8.13429679313028e-320,-8.30178504707047e-320,-8.32994678888342e-320,-8.13429679313028e-320,-8.30178504707047e-320,-8.32994678888342e-320,-8.0769851782127e-320
"5",-2.15224876641364e-319,-2.09157750510433e-319,-2.10363270686286e-319,-2.14627057209896e-319,-2.09157750510433e-319,-2.10363270686286e-319,-2.14627057209896e-319,-2.15224876641364e-319,-2.10363270686286e-319,-2.14627057209896e-319,-2.15224876641364e-319,-2.09157750510433e-319
"6",-5.82029093426822e-319,-5.68303949785352e-319,-5.69316784359327e-319,-5.8359034086768e-319,-5.68303949785352e-319,-5.69316784359327e-319,-5.8359034086768e-319,-5.82029093426822e-319,-5.69316784359327e-319,-5.8359034086768e-319,-5.82029093426822e-319,-5.68303949785352e-319
"7",-1.59615811939348e-318,-1.56155870221522e-318,-1.56475530694381e-318,-1.60208196648712e-318,-1.56155870221522e-318,-1.56475530694381e-318,-1.60208196648712e-318,-1.59615811939348e-318,-1.56475530694381e-318,-1.60208196648712e-318,-1.59615811939348e-318,-1.56155870221522e-318
"8",-4.34227873276476e-318,-4.24184506827815e-318,-4.24475511493215e-318,-4.36252554293133e-318,-4.24184506827815e-318,-4.24475511493215e-318,-4.36252554293133e-318,-4.34227873276476e-318,-4.24475511493215e-318,-4.36252554293133e-318,-4.34227873276476e-318,-4.24184506827815e-318
"9",-1.17645775236732e-317,-1.14746350994113e-317,-1.14991111115063e-317,-1.18780891058052e-317,-1.14746350994113e-317,-1.14991111115063e-317,-1.18780891058052e-317,-1.17645775236732e-317,-1.14991111115063e-317,-1.18780891058052e-317,-1.17645775236732e-317,-1.14746350994113e-317
"10",-3.19756815660226e-317,-3.12010607431904e-317,-3.11423262192127e-317,-3.20524297234475e-317,-3.12010607431904e-317,-3.11423262192127e-317,-3.20524297234475e-317,-3.19756815660226e-317,-3.11423262192127e-317,-3.20524297234475e-317,-3.19756815660226e-317,-3.12010607431904e-317
